thread,analysis,target,model,condition,cv_scheme,n_subjects,n_features,n_shuffles,obs_spearman,obs_pearson,obs_r2,obs_rmse,obs_mae,obs_neg_mae,floor_spearman,floor_r2,floor_rmse,floor_mae,mae_improvement_over_floor,beats_floor,null_mean,null_sd,null_p95,emp_p_spearman,emp_p_neg_mae,emp_p_null,z_spearman,group_features,group_rank,obs_drop,null_drop_mean,null_drop_sd,target_mean,target_sd,target_n_lost,environment,source_file,notes
aim1_biomni,descriptive_cv,total_hip_bmd_change,TabPFN-3 (v3_default ckpt),everything,10x5 repeated CV,38,628.0,,0.2072103686443678,,0.0413232990593894,0.0166651566220103,0.0126848874192403,,-0.9971136707116908,-0.0547845142439735,0.0174805537368853,0.0126742532005689,,,,,,,,,,,,,,,,,,Biomni A10G; tabpfn 8.2.0; torch 2.13.0+cu130; n_est=32; seed=42,tfm_results_metrics.csv,floor Spearman -0.997 is a degenerate artifact of near-constant floor predictions; present as n/a in deck
aim1_biomni,descriptive_cv,total_hip_bmd_change,TabPFN-3 (v3_default ckpt),shortlist,10x5 repeated CV,38,5.0,,-0.3975213841956714,,-0.0861775213297397,0.0177387788184059,0.0132950020098972,,-0.9971136707116908,-0.0547845142439735,0.0174805537368853,0.0126742532005689,,,,,,,,,,,,,,,,,,Biomni A10G; tabpfn 8.2.0; torch 2.13.0+cu130; n_est=32; seed=42,tfm_results_metrics.csv,
aim1_biomni,permutation_null,total_hip_bmd_change,TabPFN-3 (v3_default ckpt),everything,LOOCV,38,628.0,1000.0,0.3762038995750089,,,,,-0.012086301265701,,,,,,,-0.3928188354509839,0.2776080723764562,0.144655148877983,0.0069930069930069,0.0179820179820179,,,,,,,,,,,Biomni A10G; tabpfn 8.2.0; torch 2.13.0+cu130; n_est=32; seed=42,tfm_results_null.csv,null is off-center (negative) under LOOCV; gap vs null p95 is the test
aim1_biomni,permutation_null,total_hip_bmd_change,TabPFN-3 (v3_default ckpt),shortlist,LOOCV,38,5.0,1000.0,-0.5988777285659712,,,,,-0.013098759342132,,,,,,,-0.4539695028322134,0.2720285898174878,0.0958016595115625,0.6453546453546454,0.8781218781218781,,,,,,,,,,,Biomni A10G; tabpfn 8.2.0; torch 2.13.0+cu130; n_est=32; seed=42,tfm_results_null.csv,null is off-center (negative) under LOOCV; gap vs null p95 is the test
aim1_biomni,permutation_null_ood,total_hip_bmd_change,TabPFN-3 (OOD ckpt v3_20260506),everything,LOOCV,38,628.0,200.0,0.3742157403875896,,,,,-0.0121250268408881,,,,,,,-0.3998453213791883,0.2676565390137491,0.1355317072734921,0.0099502487562189,0.0149253731343283,,2.8919938388806696,,,,,,,,,Biomni A10G; tabpfn 8.2.0; torch 2.13.0+cu130; n_est=32; seed=42,tfm_results_null_ood.csv,checkpoint-robustness sensitivity arm
aim1_biomni,width_sweep,total_hip_bmd_change,TabPFN-3 (v3_default ckpt),width_5,LOOCV,38,5.0,5.0,-0.2272245044643888,,,,,-0.0128994709970552,,,,,,,,0.2264374492057374,,,,,,,,,,,,,,Biomni A10G; tabpfn 8.2.0; torch 2.13.0+cu130; n_est=32; seed=42,tfm_width_sweep_summary.csv,"null_sd column here is the SD across the 5 random feature draws, not a permutation null"
aim1_biomni,width_sweep,total_hip_bmd_change,TabPFN-3 (v3_default ckpt),width_25,LOOCV,38,25.0,5.0,-0.2624811940546245,,,,,-0.0128349043486737,,,,,,,,0.3387504894955974,,,,,,,,,,,,,,Biomni A10G; tabpfn 8.2.0; torch 2.13.0+cu130; n_est=32; seed=42,tfm_width_sweep_summary.csv,"null_sd column here is the SD across the 5 random feature draws, not a permutation null"
aim1_biomni,width_sweep,total_hip_bmd_change,TabPFN-3 (v3_default ckpt),width_100,LOOCV,38,100.0,5.0,0.0043297688970465,,,,,-0.0126568077981815,,,,,,,,0.3208411307561117,,,,,,,,,,,,,,Biomni A10G; tabpfn 8.2.0; torch 2.13.0+cu130; n_est=32; seed=42,tfm_width_sweep_summary.csv,"null_sd column here is the SD across the 5 random feature draws, not a permutation null"
aim1_biomni,width_sweep,total_hip_bmd_change,TabPFN-3 (v3_default ckpt),width_250,LOOCV,38,250.0,5.0,0.0374878460116729,,,,,-0.0126148043048175,,,,,,,,0.3089252357060227,,,,,,,,,,,,,,Biomni A10G; tabpfn 8.2.0; torch 2.13.0+cu130; n_est=32; seed=42,tfm_width_sweep_summary.csv,"null_sd column here is the SD across the 5 random feature draws, not a permutation null"
aim1_biomni,width_sweep,total_hip_bmd_change,TabPFN-3 (v3_default ckpt),width_628,LOOCV,38,628.0,1.0,0.3762038995750089,,,,,-0.012086301265701,,,,,,,,,,,,,,,,,,,,,,Biomni A10G; tabpfn 8.2.0; torch 2.13.0+cu130; n_est=32; seed=42,tfm_width_sweep_summary.csv,full table = the observed run (no refit)
aim1_biomni,group_importance,total_hip_bmd_change,TabPFN-3 (v3_default ckpt),Screening_fitness,LOOCV,38,,50.0,,,,,,,,,,,,,,,,0.0588235294117647,,,1.6826239561825649,73.0,1.0,0.295550908538699,0.0095763000860696,0.1699575281810135,,,,Biomni A10G; tabpfn 8.2.0; torch 2.13.0+cu130; n_est=32; seed=42,tfm_group_importance.csv,drop in LOOCV Spearman when the group's columns are jointly shuffled inside LOOCV
aim1_biomni,group_importance,total_hip_bmd_change,TabPFN-3 (v3_default ckpt),Cardiovascular_hemo,LOOCV,38,,50.0,,,,,,,,,,,,,,,,0.1176470588235294,,,0.7322156679035382,44.0,2.0,0.0893788008033168,0.0203189868954253,0.0943162198439288,,,,Biomni A10G; tabpfn 8.2.0; torch 2.13.0+cu130; n_est=32; seed=42,tfm_group_importance.csv,drop in LOOCV Spearman when the group's columns are jointly shuffled inside LOOCV
aim1_biomni,group_importance,total_hip_bmd_change,TabPFN-3 (v3_default ckpt),Echo_cardiac,LOOCV,38,,50.0,,,,,,,,,,,,,,,,0.3725490196078431,,,0.2580343609958566,54.0,3.0,0.0237695476184797,0.0045926477229386,0.0743191713741992,,,,Biomni A10G; tabpfn 8.2.0; torch 2.13.0+cu130; n_est=32; seed=42,tfm_group_importance.csv,drop in LOOCV Spearman when the group's columns are jointly shuffled inside LOOCV
