measure,campaign,source,issue
total_hip_bmd,C3,MR035G_Campaign_3_DXA_C3A_All_L_Hip.csv,no_value_col
total_hip_bmd,C3,MR035G_Campaign_3_DXA_C3B_All_L_Hip.csv,no_value_col
total_hip_bmd,C3,MR035G_Campaign_3_DXA_C3C_7352_L_Hip.csv,no_value_col
total_hip_bmd,C3,MR035G_Campaign_3_DXA_C3C_7772_L_Hip.csv,no_value_col
plasma_volume,C3,BRSMPV_Campaign_3_Plasma_Volume_C3A_0224.csv,no_value_col
plasma_volume,C3,BRSMPV_Campaign_3_Plasma_Volume_C3A_0446.csv,no_value_col
plasma_volume,C3,BRSMPV_Campaign_3_Plasma_Volume_C3A_0992.csv,no_value_col
plasma_volume,C3,BRSMPV_Campaign_3_Plasma_Volume_C3A_5788.csv,no_value_col
plasma_volume,C3,BRSMPV_Campaign_3_Plasma_Volume_C3B_3768.csv,no_value_col
plasma_volume,C3,BRSMPV_Campaign_3_Plasma_Volume_C3B_4023.csv,no_value_col
plasma_volume,C3,BRSMPV_Campaign_3_Plasma_Volume_C3B_6345.csv,no_value_col
plasma_volume,C3,BRSMPV_Campaign_3_Plasma_Volume_C3B_7127.csv,no_value_col
