,corr,name
threshold,1.0,threshold
Entpd4b,-0.26880292940856576,Entpd4b
Lpar6,-0.2534950853827078,Lpar6
Paxx,-0.23936293476738166,Paxx
Myo1d,0.23397005794679507,Myo1d
Esyt1,0.22784442541882316,Esyt1
Zfp950,-0.22685383165098988,Zfp950
Ccdc141,-0.22447460109496695,Ccdc141
Arf6,0.21605483772521145,Arf6
Asrgl1,0.211439497274414,Asrgl1
Rint1,-0.20959335086581815,Rint1
Cdh1,-0.20861640122192077,Cdh1
Car14,-0.20751425938352394,Car14
Dgkq,-0.2073037365439346,Dgkq
Tubgcp3,-0.20726419149820083,Tubgcp3
Chpf2,-0.2064130845483666,Chpf2
Mettl23,-0.20607421958024125,Mettl23
Jun,0.20581181772970727,Jun
Rbm12b1,-0.20551010076661208,Rbm12b1
Xpc,0.204337316204895,Xpc
AI987944,-0.20399788699981522,AI987944
Aopep,-0.20233652824915546,Aopep
Them7,0.20037803778907187,Them7
Zcchc7,-0.20028831584610693,Zcchc7
Naa20,-0.19971972985606926,Naa20
Sugp2,-0.19861520407336455,Sugp2
Sned1,-0.1980164593536667,Sned1
Fam135a,-0.19785071775556148,Fam135a
Baz2b,-0.19688751773551572,Baz2b
Axin1,0.1967497393946135,Axin1
Gga2,0.1964314140536091,Gga2
Tbce,-0.1961320790168002,Tbce
Slirp,-0.19488569199762226,Slirp
Prex1,0.19404931114736937,Prex1
N4bp1,0.19397124566578822,N4bp1
Nol6,0.1935405252834046,Nol6
Ifngr2,0.19347347162789788,Ifngr2
Mup11,-0.19319129491941395,Mup11
Plekhb1,0.19197717212774945,Plekhb1
Col4a2,0.19125061665113582,Col4a2
Galk2,0.1901163490528514,Galk2
Nabp1,-0.18946344801118908,Nabp1
Tapbpl,0.18903445637088895,Tapbpl
Gab1,0.1885242915679949,Gab1
Tppp,0.1873889008520351,Tppp
Osbpl2,0.1865843819229559,Osbpl2
Tet2,-0.18651827776419666,Tet2
Prps2,0.18564982657614423,Prps2
Polr3b,0.1856306193706337,Polr3b
Ncapd3,-0.18490868605172,Ncapd3
Vsig4,-0.18487885117830888,Vsig4
Ubqln2,0.1846541045161054,Ubqln2
Zhx2,0.18455606026528557,Zhx2
Paxbp1,-0.18444735948334579,Paxbp1
Entpd4,-0.18432150806759395,Entpd4
Amn1,-0.18401507751067514,Amn1
Chtf8,0.18393100708520985,Chtf8
Garem1,0.18387153493282632,Garem1
Syt1,0.18380101810822358,Syt1
Rbp1,-0.18376099245000246,Rbp1
Polr2l,0.18365079121379724,Polr2l
F830016B08Rik,-0.18297949548871392,F830016B08Rik
Fam20b,0.1829451209876687,Fam20b
Igsf11,0.18270300118109511,Igsf11
Brf1,-0.18250323973626817,Brf1
Dynll1,-0.18233674138071,Dynll1
S100pbp,-0.18210944167223875,S100pbp
Lsm6,-0.1817675569847532,Lsm6
Als2cl,-0.1815764207887624,Als2cl
